Month of Year,Domain,Operating System,State/Province,Source,Bounces,Entrances,Pageviews,Time on Page
1,unknown.unknown,iOS,Quebec,google,145,183,309,"3,268"
1,uottawa.ca,iOS,Ontario,google,145,225,356,"21,702"
1,rogers.com,iOS,Ontario,google,155,286,506,"29,915"
1,unknown.unknown,iOS,Ontario,google,169,258,487,"12,417"
1,uottawa.ca,iOS,Ontario,(direct),183,332,651,"51,706"
1,rogers.com,iOS,Ontario,uottawa.ca,197,286,440,"9,360"
1,bell.ca,iOS,Quebec,(direct),215,314,492,"64,208"
1,unknown.unknown,iOS,Ontario,(direct),243,440,862,"31,882"
1,uottawa.ca,iOS,Ontario,uottawa.ca,248,318,520,"29,161"
1,unknown.unknown,iOS,Ontario,uottawa.ca,253,393,712,"37,472"
1,rogers.com,iOS,Ontario,(direct),276,407,679,"32,743"
1,bell.ca,iOS,Ontario,(direct),403,632,"1,044","133,557"
1,unknown.unknown,LG,,writingcentre.uottawa.ca,0,5,9,272
1,,Linux,,english.uottawa.ca,0,5,9,9
1,unknown.unknown,Linux,,google,0,5,9,56
1,sify.net,Linux,Andhra Pradesh,uottawa.ca,0,5,47,"2,542"
1,charite.de,Linux,Berlin,google,0,5,14,103
1,bellaliant.net,Linux,Newfoundland and Labrador,google,0,5,14,"2,351"
1,rr.com,Linux,Ohio,google,0,5,9,"5,319"
1,ncf.ca,Linux,Ontario,(direct),0,5,14,140
1,uottawa.ca,Linux,Ontario,catalogue.bib.uottawa.ca,0,5,19,"1,110"
1,anikast.net,Linux,Ontario,google,0,5,9,567
1,primus.ca,Linux,Ontario,google,0,5,9,19
1,distributel.net,Linux,Ontario,google,0,5,14,"6,691"
1,rogers.com,Linux,Ontario,google.com,0,5,9,37
1,bell.ca,Linux,Ontario,ischool.utoronto.ca,0,5,14,103
1,unknown.unknown,Linux,Ontario,ischool.utoronto.ca,0,5,14,80
1,bell.ca,Linux,Ontario,m.url.cn,0,5,9,581
1,uottawa.ca,Linux,Ontario,web33.uottawa.ca,0,5,9,215
1,videotron.ca,Linux,Quebec,(direct),0,5,28,"1,105"
1,concordia.ca,Linux,Quebec,google,0,5,9,"2,056"
1,bell.ca,Linux,Quebec,uottawa.ca,0,5,47,"5,516"
1,wind.ca,Linux,Ontario,uottawa.ca,0,9,19,56
1,videotron.ca,Linux,Quebec,google,0,9,33,787
1,hwlsv.com,Linux,,(direct),5,5,5,0
1,opera.com,Linux,,(direct),5,5,5,0
1,unknown.unknown,Linux,,(direct),5,5,5,0
1,cuhk.edu.hk,Linux,,google,5,5,5,0
1,he.net,Linux,,google,5,5,5,0
1,,Linux,,google.ca,5,5,5,0
1,unknown.unknown,Linux,,socialsciences.uottawa.ca,5,5,5,0
1,uni-tuebingen.de,Linux,Baden-Wurttemberg,google,5,5,5,0
1,mtsallstream.net,Linux,Manitoba,google,5,5,5,0
1,vectranet.pl,Linux,Masovian Voivodeship,(direct),5,5,5,0
1,,Linux,Ontario,(direct),5,5,5,0
1,anikast.net,Linux,Ontario,(direct),5,5,5,0
1,carleton.ca,Linux,Ontario,(direct),5,5,5,0
1,teksavvy.com,Linux,Ontario,(direct),5,5,5,0
1,primus.ca,Linux,Ontario,google.ca,5,5,5,0
1,persona.ca,Linux,Ontario,grad.uottawa.ca,5,5,5,0
1,primus.ca,Linux,Ontario,telfer.uottawa.ca,5,5,5,0
1,prod-infinitum.com.mx,Linux,Puebla,google,5,5,5,0
